url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_a322a005d41402d415ee4d060a1f4f5a,,
주제,통검,,
범위,합계,,
기간,일간 : 2019-12-12 ~ 2020-12-12,,
성별,"전체(여성,남성)",,
연령대,"25~29, 30~34, 35~39",,
날짜,캠핑,날짜,텐트
2020-07-02,35.99524,2020-07-02,44.69376
2020-07-03,33.61932,2020-07-03,39.44033
2020-07-04,38.46356,2020-07-04,56.83738
2020-07-05,47.46568,2020-07-05,86.69482
2020-07-06,44.36378,2020-07-06,68.4926
2020-07-07,38.51636,2020-07-07,55.30623
2020-07-08,38.93875,2020-07-08,47.98046
2020-07-09,36.24604,2020-07-09,47.41288
2020-07-10,34.96568,2020-07-10,41.73706
2020-07-11,35.81045,2020-07-11,59.43769
2020-07-12,43.4794,2020-07-12,77.00633
2020-07-13,40.08711,2020-07-13,63.56916
2020-07-14,37.84318,2020-07-14,55.14783
2020-07-15,34.42449,2020-07-15,48.09926
2020-07-16,35.11087,2020-07-16,44.13938
2020-07-17,34.58289,2020-07-17,43.10982
2020-07-18,32.15417,2020-07-18,56.0586
2020-07-19,42.15945,2020-07-19,71.93769
2020-07-20,39.07074,2020-07-20,61.47043
2020-07-21,40.95828,2020-07-21,56.82418
2020-07-22,34.66209,2020-07-22,49.52481
2020-07-23,34.3057,2020-07-23,44.94456
2020-07-24,31.50739,2020-07-24,36.33843
2020-07-25,33.06494,2020-07-25,47.61087
2020-07-26,42.44984,2020-07-26,73.36325
2020-07-27,44.64097,2020-07-27,65.77349
2020-07-28,40.70749,2020-07-28,55.71541
2020-07-29,36.66842,2020-07-29,45.40654
2020-07-30,44.57497,2020-07-30,44.15258
2020-07-31,45.76293,2020-07-31,39.73072
2020-08-01,34.04171,2020-08-01,46.18532
2020-08-02,46.6341,2020-08-02,57.72175
2020-08-03,42.56863,2020-08-03,49.16842
2020-08-04,34.55649,2020-08-04,43.42661
2020-08-05,30.29303,2020-08-05,39.20274
2020-08-06,28.35269,2020-08-06,34.46409
